sample_idx,type,distance,eta,sigma_sq,p_value,is_watermarked
21,random,28.00637155633239,268.6550883888707,1010.8999633789062,2.222826500643329e-24,1
22,watermarked,0.9939840900423004,854.9870776536164,0.3104651868343353,0.0,1
22,random,27.33679168330536,267.77327003169745,981.4459838867188,1.42667398525289e-24,1
23,watermarked,0.993984090042268,854.9868245067985,0.3104652762413025,0.0,1
23,random,26.75421377538237,268.16996609679296,958.0064697265625,1.742254529342465e-24,1
24,watermarked,0.9939840900423019,854.986001779338,0.31046557426452637,0.0,1
24,random,27.17084262554793,267.4369263121296,941.1668090820312,1.2037516698958848e-24,1
25,watermarked,0.9939840900423212,854.9870143668608,0.3104652166366577,0.0,1
25,random,30.723884224375794,268.38368282168676,1193.0179443359375,1.93989333094162e-24,1
26,watermarked,0.9939840900423176,854.9870776535249,0.3104651868343353,0.0,1
26,random,29.42479693596327,267.7880119979977,1085.44287109375,1.437347420512841e-24,1
27,watermarked,0.9939840900423944,854.986508073666,0.31046539545059204,0.0,1
27,random,28.90576032117343,268.79458546962314,1092.77783203125,2.3837501657569156e-24,1
28,watermarked,0.9939840900421197,854.9868245064847,0.3104652762413025,0.0,1
28,random,26.689527634521333,267.9939142494785,897.783935546875,1.594486108376353e-24,1
29,watermarked,0.9939840900422104,854.9869510799034,0.3104652464389801,0.0,1
29,random,28.595176982005505,268.99012091626685,1092.23486328125,2.6287541230980148e-24,1
30,watermarked,0.9939840900422658,854.9868245067597,0.3104652762413025,0.0,1
30,random,28.63821959410845,268.6537592949201,1062.005126953125,2.2213640869780628e-24,1
31,watermarked,0.9939840900422698,854.9867612199512,0.3104653060436249,0.0,1
31,random,29.31430447950485,267.99778481235785,1054.0809326171875,1.597645335836201e-24,1
32,watermarked,0.9939840900422102,854.9863182129036,0.3104654550552368,0.0,1
32,random,29.897468334846703,267.3813199164847,1108.261474609375,1.1703958904723924e-24,1
33,watermarked,0.9939840900423025,854.9868245068901,0.3104652762413025,0.0,1
33,random,26.378225307086208,268.36864618320345,880.8045043945312,1.9251990172647686e-24,1
34,watermarked,0.9939840900422192,854.9869510803092,0.3104652464389801,0.0,1
34,random,26.53509428577817,269.6694521905035,906.3883056640625,3.688726741887551e-24,1
35,watermarked,0.9939840900424277,854.9868245068383,0.3104652762413025,0.0,1
35,random,26.0070296610497,268.5783882855036,867.4375,2.138905440115271e-24,1
36,watermarked,0.99398409004223,854.9865080732043,0.31046539545059204,0.0,1
36,random,29.37566807777828,268.6585327996379,1053.63427734375,2.226682452554843e-24,1
37,watermarked,0.9939840900421694,854.9870143667453,0.3104652166366577,0.0,1
37,random,30.149671777779844,268.3034369883341,1148.740966796875,1.8632356511712956e-24,1
38,watermarked,0.9939840900421731,854.9868245067022,0.3104652762413025,0.0,1
38,random,31.52377388741889,269.2206899962925,1224.4686279296875,2.9497125734377428e-24,1
39,watermarked,0.9939840900422446,854.9866979333756,0.31046533584594727,0.0,1
39,random,27.64699774277896,267.2355428322219,1023.4391479492188,1.0871210375650875e-24,1
40,watermarked,0.9939840900423704,854.9867612202316,0.3104653060436249,0.0,1
40,random,26.217801842250665,268.9638746026248,869.8558959960938,2.5943700294134055e-24,1
41,watermarked,0.9939840900421273,854.9865713596347,0.31046536564826965,0.0,1
41,random,28.238045239719696,269.25198406146546,1028.4609375,2.996070232403998e-24,1
42,watermarked,0.9939840900421647,854.9870143666096,0.3104652166366577,0.0,1
42,random,26.056224566844136,267.9589790105054,857.6951904296875,1.5666550633092234e-24,1
43,watermarked,0.9939840900423972,854.9866979334282,0.31046533584594727,0.0,1
43,random,27.109032694924323,267.7149523773997,953.7918090820312,1.3852950468496925e-24,1
44,watermarked,0.9939840900421573,854.9866979333277,0.31046533584594727,0.0,1
44,random,27.127564830175643,268.5106548915685,939.3222045898438,2.067487647472057e-24,1
45,watermarked,0.9939840900423071,854.9864447867201,0.31046542525291443,0.0,1
45,random,29.361942771737894,268.7611686435372,1109.11572265625,2.3441972581233263e-24,1
46,watermarked,0.9939840900420618,854.9866979328833,0.31046533584594727,0.0,1
46,random,31.257066416357674,268.7813847703044,1237.343505859375,2.3680837567210865e-24,1
47,watermarked,0.9939840900423691,854.9866979336043,0.31046533584594727,0.0,1
47,random,28.766555317225762,268.6000510931189,1032.2220458984375,2.1623413337301537e-24,1
48,watermarked,0.9939840900422446,854.9870143669818,0.3104652166366577,0.0,1
48,random,26.88667454910905,268.6828626980173,909.6610717773438,2.253938460195085e-24,1
49,watermarked,0.9939840900421613,854.9868245067096,0.3104652762413025,0.0,1
49,random,28.487917712935662,268.5904467791958,999.9091796875,2.151940871025422e-24,1
